Req_ID,Requirement,domain,Functional_Non_Functional
MIS_001,REDACTED,System_Components_Domain;Lifetime_Domain,Non_Functional_Requirement
MIS_002,REDACTED,System_Components_Domain;Lifetime_Domain,Non_Functional_Requirement
MIS_003,REDACTED,System_Components_Domain;Temperature_Estimation_Accuracy_Domain;Function_Domain;Temperature_Estimation_Accuracy_Domain;Function_Domain;Temperature_Estimation_Accuracy_Domain;Function_Domain;Temperature_Estimation_Accuracy_Domain,Functional_Requirement
MIS_004,REDACTED,Operational_Domain;Position_Latitude_Domain;Observation_Local_Time_Domain;Observation_Local_Time_Domain;Observation_Local_Time_Domain;Observation_Local_Time_Domain;Observation_Local_Time_Domain;Observation_Local_Time_Domain;Observation_Local_Time_Domain;Observation_Local_Time_Domain;Function_Domain;Function_Domain;Observation_Local_Time_Domain;Observation_Local_Time_Domain;Function_Domain;Observation_Local_Time_Domain;Observation_Local_Time_Domain,Functional_Requirement
MIS_005,REDACTED,Orbital_Domain;Revisit_Domain,Non_Functional_Requirement
MIS_006,REDACTED,Orbital_Domain;Revisit_Domain;Function_Domain,Functional_Requirement
MIS_007,REDACTED,Orbital_Domain;Variation_of_Local_Time_of_Observation_Domain;Variation_of_Local_Time_of_Observation_Domain;Variation_of_Local_Time_of_Observation_Domain;Variation_of_Local_Time_of_Observation_Domain;Function_Domain;Function_Domain;Variation_of_Local_Time_of_Observation_Domain;Function_Domain;Variation_of_Local_Time_of_Observation_Domain,Functional_Requirement
MIS_008,REDACTED,Orbital_Domain;Ground_Resolution_Domain,Non_Functional_Requirement
MIS_009,REDACTED,Orbital_Domain;Ground_Resolution_Domain,Non_Functional_Requirement
MIS_010,REDACTED,System_Components_Domain;Pointing_Accuracy_Domain;Angular_Error_Domain;Angular_Error_Domain;Function_Domain;Pointing_Accuracy_Domain;Function_Domain;Angular_Error_Domain;Function_Domain;Angular_Error_Domain,Functional_Requirement
MIS_011,REDACTED,System_Components_Domain;Geo_Location_accuracy_Domain;Geo_Location_accuracy_Domain;Function_Domain;Geo_Location_accuracy_Domain;Function_Domain;Geo_Location_accuracy_Domain;Geo_Location_accuracy_Domain;Function_Domain,Functional_Requirement
MIS_012,REDACTED,Operational_Domain;Availability_Domain,Non_Functional_Requirement
MIS_013,REDACTED,Operational_Domain;Comms_Domain;Imaging_Domain;Nominal_Domain;Manoeuvre_Domain;Imaging_Domain;Safe_Domain;Safe_Domain;Safe_Domain;Safe_Domain;Standby_Domain;Standby_Domain;Standby_Domain;Standby_Domain;Standby_Domain;Safe_Domain;Manoeuvre_Domain;Safe_Domain;Safe_Domain;Standby_Domain;Standby_Domain;Safe_Domain;Nominal_Domain;Decommissioning_Domain;Decommissioning_Domain;Manoeuvre_Domain;Standby_Domain,Non_Functional_Requirement
MIS_014,REDACTED,System_Components_Domain;Three_Axis_stab_status_Domain;Three_Axis_stab_status_Domain;Three_Axis_stab_status_Domain;Function_Domain;Three_Axis_stab_status_Domain;Function_Domain;Three_Axis_stab_status_Domain;Function_Domain;Three_Axis_stab_status_Domain,Functional_Requirement
MIS_015,REDACTED,Operational_Domain;Decommissioning_Domain;Manoeuvre_Domain;Manoeuvre_Domain;Manoeuvre_Domain;Manoeuvre_Domain,Non_Functional_Requirement
MIS_016,REDACTED,System_Components_Domain;Number_of_Launchers_Domain;Number_of_Launchers_Domain;Number_of_Launchers_Domain;Number_of_Launchers_Domain;Number_of_Launchers_Domain;Number_of_Launchers_Domain,Non_Functional_Requirement
